Hisse    Temettü Tar  Verim   T-7       T-6       T-5       T-4       T-3       T-2       T-1       T_Günü    T+1       T+2       T+3       T+4       T+5       T+6       T+7      
ASGYO    2024-07-03   %1.53  -2.15%    -1.37%    +0.15%    +2.23%    -1.05%    -2.05%    +1.63%    -1.45%    +0.77%    +0.46%    -0.61%    -0.69%    -1.39%    +1.81%    -0.54%   
DOFER    2024-07-03   %1.50  -5.05%    +0.05%    -3.24%    +1.99%    +0.62%    -6.17%    +2.12%    -2.23%    +0.38%    +0.87%    +1.40%    +2.65%    -4.08%    -0.27%    +5.29%   
ARDYZ    2024-07-03   %0.05  -9.19%    -3.31%    +1.03%    +2.90%    -1.20%    -5.55%    +0.39%    -2.56%    +3.49%    +0.94%    +3.94%    +2.42%    -0.05%    +1.34%    +2.59%   
INDES    2024-07-05   %3.50  -2.51%    +1.72%    +0.12%    +2.53%    +1.29%    +2.21%    +1.36%    -6.28%    -1.67%    -1.22%    -2.09%    +2.89%    +0.37%    +0.85%    +0.85%   
ATAKP    2024-07-08   %1.56  +5.30%    -1.47%    -1.53%    +2.65%    +0.30%    -0.40%    +1.29%    -3.03%    +1.90%    -1.79%    -0.12%    +0.93%    +0.20%    -0.64%    +2.36%   
ERBOS    2024-07-08   %0.96  +1.95%    +0.00%    -2.97%    +0.99%    -0.15%    +2.00%    +0.81%    -2.33%    +0.24%    +1.36%    +1.87%    -0.71%    -0.57%    +0.05%    +3.00%   
DOHOL    2024-07-08   %0.27  +1.03%    +0.60%    -5.04%    +0.00%    +0.50%    +1.49%    +0.49%    -2.38%    +2.50%    -0.67%    +5.89%    +0.35%    -0.75%    +0.47%    -2.37%   
TABGD    2024-07-08   %0.26  +2.09%    +2.34%    -1.05%    -3.62%    -0.95%    -0.96%    -2.80%    +0.21%    -1.05%    +1.32%    +2.87%    +0.66%    +2.37%    +0.25%    -0.98%   
MERIT    2024-07-08   %0.31  +3.03%    -7.32%    +5.75%    +9.97%    +9.95%    -4.48%    -0.42%    -7.24%    +9.44%    -7.13%    +1.07%    +1.77%    -9.03%    -1.91%    -1.26%   
YGGYO    2024-07-09   %5.56  -0.29%    -1.45%    +4.22%    +1.41%    -0.09%    -0.47%    +4.58%    -10.28%   -4.98%    +3.19%    +9.51%    +1.30%    -1.83%    -1.49%    +0.57%   
